"시도별","경제활동별",2021 p),2021 p),2021 p)
"시도별","경제활동별",명목,실질,실질기여도
"전라북도","서비스업",30114358,27561503,1.42
"전라북도","　도매 및 소매업",2398710,2387274,0.07
"전라북도","　운수 및 창고업",1309746,1257816,0.18
"전라북도","　숙박 및 음식점업",1059547,932333,0.03
"전라북도","　정보통신업",822909,943229,0.07
"전라북도","　금융 및 보험업",2776265,2666104,0.29
"전라북도","　부동산업",2990157,2887122,0.00
"전라북도","　사업서비스업",2679519,2265382,0.13
"전라북도","　공공 행정, 국방 및 사회보장 행정",6462194,5592103,0.08
"전라북도","　교육 서비스업",3994810,3648651,0.25
"전라북도","　보건업 및 사회복지 서비스업",3762077,3451281,0.16
"전라북도","　문화 및 기타서비스업",1858424,1532400,0.16
"전라남도","지역내총생산(시장가격)",88266312,77027126,2.74
"전라남도","순생산물세",10494233,9004832,0.39
"전라남도","총부가가치(기초가격)",77772079,68042013,2.35
"전라남도","농업, 임업 및 어업",5912067,5424724,0.50
"전라남도","광제조업",28759306,23418568,1.82
"전라남도","　광업",166430,167304,0.02
"전라남도","　제조업",28592876,23250572,1.80
"전라남도","　　음식료품 및 담배제조업",1184352,1055639,-0.08
"전라남도","　　섬유 의복 및 가죽 제품 제조업",78274,72235,0.00
"전라남도","　　목재종이인쇄 및 복제업",169203,149127,-0.02
"전라남도","　　석탄 및 석유 화학제품 제조업",16882894,13300673,0.82
"전라남도","　　비금속광물 및 금속제품 제조업",7544329,5374215,0.35
"전라남도","　　전기 전자 및 정밀기기 제조업",683780,702397,0.16
"전라남도","　　기계 운송장비 및 기타 제품 제조업",2050044,2549433,0.56
"전라남도","전기, 가스, 증기 및 공기 조절 공급업",1678802,2976177,0.08
"전라남도","건설업",6143110,4901643,-1.25
"전라남도","서비스업",35278794,31224222,1.20
"전라남도","　도매 및 소매업",2364871,2354284,0.04
"전라남도","　운수 및 창고업",4406928,3244685,0.35
"전라남도","　숙박 및 음식점업",1245402,1108987,0.01
"전라남도","　정보통신업",1282968,1319998,0.02
"전라남도","　금융 및 보험업",2516332,2446184,0.20
"전라남도","　부동산업",2660796,2571007,0.00
"전라남도","　사업서비스업",2958616,2471734,0.29
"전라남도","　공공 행정, 국방 및 사회보장 행정",8464736,7324594,0.05
"전라남도","　교육 서비스업",3863815,3510190,0.07
"전라남도","　보건업 및 사회복지 서비스업",3493912,3220937,0.12
"전라남도","　문화 및 기타서비스업",2020418,1633737,0.07
"경상북도","지역내총생산(시장가격)",112784772,104960491,3.54
"경상북도","순생산물세",6982073,6033008,-0.02
"경상북도","총부가가치(기초가격)",105802699,98914093,3.57
"경상북도","농업, 임업 및 어업",6575539,5641265,0.46
"경상북도","광제조업",46900059,44776551,2.04
"경상북도","　광업",155829,154733,0.00
"경상북도","　제조업",46744230,44619841,2.04
"경상북도","　　음식료품 및 담배제조업",1785896,1663242,0.04
"경상북도","　　섬유 의복 및 가죽 제품 제조업",1307376,1217836,0.11
"경상북도","　　목재종이인쇄 및 복제업",742222,644422,0.03
"경상북도","　　석탄 및 석유 화학제품 제조업",4930453,4432963,0.37
"경상북도","　　비금속광물 및 금속제품 제조업",14658527,10683095,0.18
"경상북도","　　전기 전자 및 정밀기기 제조업",17789083,19855367,0.91
"경상북도","　　기계 운송장비 및 기타 제품 제조업",5530673,6050363,0.39
"경상북도","전기, 가스, 증기 및 공기 조절 공급업",2064354,3643244,-0.07
"경상북도","건설업",5488122,4367693,-0.29
"경상북도","서비스업",44774625,40673262,1.43
"경상북도","　도매 및 소매업",3502137,3486924,0.11
"경상북도","　운수 및 창고업",2447433,2400616,0.08
"경상북도","　숙박 및 음식점업",1753831,1553560,0.08
"경상북도","　정보통신업",1398868,1564896,0.05
"경상북도","　금융 및 보험업",3368228,3278633,0.13
"경상북도","　부동산업",4261793,4109350,0.15
"경상북도","　사업서비스업",5909379,4886961,0.19
"경상북도","　공공 행정, 국방 및 사회보장 행정",9951885,8651417,0.13
"경상북도","　교육 서비스업",5089589,4671085,0.23
"경상북도","　보건업 및 사회복지 서비스업",4067913,3740464,0.10
